FileNumber,ValueC,ValueTS100,AbsImprovTS100,RelImprovTS100,ΔtTS100,ValueTS500,AbsImprovTS500,RelImprovTS500,ΔtTS500
1,3756978,3619346,137632,3.663369868016262,511885.60000000003,3619346,137632,3.663369868016262,2.3293645e6
2,2720341,2609764,110577,4.064821285272692,502747.60000000003,2609764,110577,4.064821285272692,2.3131443000000003e6
3,2685534,2628625,56909,2.1190943775055535,496675.3,2628625,56909,2.1190943775055535,2.2999281e6
4,3131074,3021589,109485,3.496723488489892,488121.3,3021589,109485,3.496723488489892,2.3016827e6
5,2891048,2803889,87159,3.0147891006998155,489727.7,2803889,87159,3.0147891006998155,2.2717724e6
6,2710101,2639482,70619,2.6057700432566904,471128.0,2639482,70619,2.6057700432566904,2.286477e6
7,3211351,3119883,91468,2.8482716464192173,505614.0,3119883,91468,2.8482716464192173,2.2630758000000003e6
8,3236587,3131096,105491,3.259328422192884,470167.10000000003,3131096,105491,3.259328422192884,2.2811191e6
9,2708031,2655625,52406,1.9352067978542342,470226.60000000003,2655625,52406,1.9352067978542342,2.2600297e6
10,3069147,2974773,94374,3.0749260299360053,874880.1,2974773,94374,3.0749260299360053,2.3707911e6
11,3319443,3215287,104156,3.1377553402784746,879918.4,3215287,104156,3.1377553402784746,2.3704553000000003e6
12,2778010,2689680,88330,3.1796141842541967,884061.4,2689680,88330,3.1796141842541967,2.3441067e6
13,3325411,3235059,90352,2.7170175355768054,870160.0,3235059,90352,2.7170175355768054,2.3498956e6
14,2494892,2401156,93736,3.7571165405155815,870064.1,2401156,93736,3.7571165405155815,2.3204447e6
15,3159394,3062776,96618,3.0581181074598485,871273.5,3062776,96618,3.0581181074598485,2.3453386e6
16,2445794,2380942,64852,2.651572454589389,865400.9,2380942,64852,2.651572454589389,2.340844e6
17,2910132,2849230,60902,2.0927573044796595,744756.4,2849230,60902,2.0927573044796595,2.3136617e6
18,3513809,3430300,83509,2.3765947437666646,631951.6,3430300,83509,2.3765947437666646,2.3460282e6
19,3690922,3576311,114611,3.1052132773328722,562321.3,3576311,114611,3.1052132773328722,2.3371744e6
20,2576066,2491921,84145,3.266414758006977,508880.5,2491921,84145,3.266414758006977,2.3546483000000003e6
21,3149766,3038696,111070,3.5262936992779785,512240.9,3038696,111070,3.5262936992779785,2.3363297e6
22,2525822,2461881,63941,2.5314927180141753,515983.0,2461881,63941,2.5314927180141753,2.330108e6
23,2883070,2792855,90215,3.129129712424603,526059.1,2792855,90215,3.129129712424603,2.3537349e6
24,3433967,3303214,130753,3.807637056500543,510014.60000000003,3303214,130753,3.807637056500543,2.3385784e6
25,3297367,3197521,99846,3.028052382400867,490463.60000000003,3197521,99846,3.028052382400867,2.3579008000000003e6
26,3083537,2987436,96101,3.116583326225695,507172.0,2987436,96101,3.116583326225695,2.2954132e6
27,3751925,3638527,113398,3.022395170479154,490131.8,3638527,113398,3.022395170479154,2.3204855e6
28,3787493,3682082,105411,2.7831338566170287,506555.10000000003,3682082,105411,2.7831338566170287,2.3158905e6
29,3616231,3526055,90176,2.4936460087864964,486839.9,3526055,90176,2.4936460087864964,2.3217173000000003e6
30,2991884,2897716,94168,3.147448229944744,484258.7,2897716,94168,3.147448229944744,2.327883e6
31,3472251,3400651,71600,2.062062909622605,500593.7,3400651,71600,2.062062909622605,2.2702668000000003e6
32,2514912,2428323,86589,3.443023056075123,485890.8,2428323,86589,3.443023056075123,2.2806737e6
33,2676346,2578949,97397,3.639178192954125,495529.5,2578949,97397,3.639178192954125,2.2829725e6
34,3137944,2994943,143001,4.557155895707508,484138.60000000003,2994943,143001,4.557155895707508,2.2994191e6
35,2480134,2387932,92202,3.7176217091495865,475792.7,2387932,92202,3.7176217091495865,2.3022726e6
36,3868158,3717624,150534,3.8916197321826043,508853.2,3717624,150534,3.8916197321826043,2.3124212e6
37,2950340,2832088,118252,4.008080424629026,480651.3,2832088,118252,4.008080424629026,2.3066914e6
38,3334575,3201829,132746,3.9808971158243556,503972.10000000003,3201829,132746,3.9808971158243556,2.2800024e6
39,3357353,3271849,85504,2.5467682427197857,480209.2,3271849,85504,2.5467682427197857,2.2936591e6
40,3498867,3390133,108734,3.1076917184905857,477852.0,3390133,108734,3.1076917184905857,2.3054462e6
41,2628147,2574937,53210,2.0246203884333713,495902.9,2574937,53210,2.0246203884333713,2.260646e6
42,2805054,2681966,123088,4.388079516472767,470346.10000000003,2681966,123088,4.388079516472767,2.3043374e6
43,3340793,3239629,101164,3.0281433180684947,498871.9,3239629,101164,3.0281433180684947,2.274754e6
44,3406461,3302363,104098,3.055898775885002,476100.0,3302363,104098,3.055898775885002,2.2964449e6
45,2677047,2594591,82456,3.0801102856991305,498669.9,2594591,82456,3.0801102856991305,2.2863148000000003e6
46,2634099,2551412,82687,3.13909993512013,475876.3,2551412,82687,3.13909993512013,2.2849377e6
47,3040470,2934507,105963,3.4850861873328793,477291.0,2934507,105963,3.4850861873328793,2.269191e6
48,2764082,2672504,91578,3.31314338720776,477240.60000000003,2672504,91578,3.31314338720776,2.2714658000000003e6
49,2597036,2505458,91578,3.5262506950230956,474419.2,2505458,91578,3.5262506950230956,2.2936183000000003e6
50,2952666,2885211,67455,2.284545559843206,478361.7,2885211,67455,2.284545559843206,2.2582956e6
