FileNumber,ValueC,ValueRTS100,AbsImprovRTS100,RelImprovRTS100,ΔtRTS100,ValueRTS500,AbsImprovRTS500,RelImprovRTS500,ΔtRTS500
1,9664054,9431729,232325,2.4040118153313297,5.7931717e6,9432128,231926,2.3998831132359153,5.7563409e6
2,11387058,11150001,237057,2.0818107714916354,6.152109e6,11150001,237057,2.0818107714916354,6.3855607e6
3,11571490,11218291,353199,3.052320833358539,5.3363129e6,11218291,353199,3.052320833358539,5.3888128e6
4,11368598,11095721,272877,2.400269584692853,5.7334719e6,11095721,272877,2.400269584692853,6.2625109e6
5,11619196,11398492,220704,1.899477382083924,6.2465822e6,11398492,220704,1.899477382083924,7.608805e6
6,10716453,10464655,251798,2.349639381612554,6.2652312e6,10464578,251875,2.3503579029367274,7.013049600000001e6
7,11898388,11574278,324110,2.7239824419913017,5.8417392e6,11574278,324110,2.7239824419913017,6.2221108e6
8,9054230,8866839,187391,2.069651422594743,5.556642e6,8866839,187391,2.069651422594743,6.128015600000001e6
9,9534532,9346991,187541,1.966965971691112,5.8022545e6,9346991,187541,1.966965971691112,6.1462644e6
10,12741848,12327908,413940,3.248665342735214,6.2432059e6,12327908,413940,3.248665342735214,6.0955387e6
11,7898418,7706981,191437,2.4237385258668254,5.291601600000001e6,7706981,191437,2.4237385258668254,5.9967382e6
12,10029241,9822508,206733,2.0613025452275,5.531282600000001e6,9822508,206733,2.0613025452275,6.0671037e6
13,11209275,10944044,265231,2.366174440363003,5.914779e6,10944044,265231,2.366174440363003,6.1220839e6
14,8047414,7880298,167116,2.076642260482684,5.5041314e6,7880298,167116,2.076642260482684,5.5419753e6
15,7541595,7392704,148891,1.9742640648297873,6.0767743e6,7392704,148891,1.9742640648297873,6.940883e6
16,8507329,8324865,182464,2.144785983943962,6.083639600000001e6,8325268,182061,2.1400488919612726,5.8755834e6
17,7718168,7544879,173289,2.2452089666874313,6.056894600000001e6,7544879,173289,2.2452089666874313,6.4934945e6
18,10405635,10186129,219506,2.109491636022213,5.6089275e6,10186129,219506,2.109491636022213,6.2603334e6
19,9788368,9581521,206847,2.113191902879009,6.0878672e6,9581521,206847,2.113191902879009,6.8261197e6
20,10981275,10688507,292768,2.666065643561426,5.503757e6,10688507,292768,2.666065643561426,5.8077513e6
21,12126675,11847978,278697,2.2982144734644905,5.943218600000001e6,11847978,278697,2.2982144734644905,6.2165394e6
22,11374959,11095449,279510,2.4572396260944767,5.3057368e6,11095449,279510,2.4572396260944767,6.120605600000001e6
23,10459580,10250722,208858,1.9968105793922892,6.0127892e6,10250722,208858,1.9968105793922892,6.8935374e6
24,7864390,7662050,202340,2.5728632481349476,5.712172e6,7662050,202340,2.5728632481349476,6.7050837e6
25,10796739,10491681,305058,2.8254642443426667,5.215041600000001e6,10491681,305058,2.8254642443426667,5.6495478e6
26,12220367,11972242,248125,2.0304218359399515,5.9663429e6,11972242,248125,2.0304218359399515,6.134684100000001e6
27,8281388,8091636,189752,2.291306722979288,5.3395327e6,8091636,189752,2.291306722979288,5.6904524e6
28,9255237,9063095,192142,2.076035438098452,4.8465527e6,9063095,192142,2.076035438098452,5.3405568e6
29,10168787,9894452,274335,2.6978144000852806,4.6044915e6,9894452,274335,2.6978144000852806,5.9106127e6
30,9970415,9713283,257132,2.578949823051498,5.428899e6,9713283,257132,2.578949823051498,6.0717064e6
31,11600329,11279981,320348,2.76154236660012,5.1328482e6,11279981,320348,2.76154236660012,5.1737247e6
32,9933802,9719968,213834,2.1525897133846636,6.182256100000001e6,9719968,213834,2.1525897133846636,7.3178809e6
33,11058677,10863098,195579,1.7685569440178062,5.5308483e6,10863098,195579,1.7685569440178062,5.7688595e6
34,7743066,7599220,143846,1.857739556914535,5.5414617e6,7599220,143846,1.857739556914535,6.2990742e6
35,8365821,8097187,268634,3.211089503349402,6.227733100000001e6,8097187,268634,3.211089503349402,7.5648197e6
36,11665512,11307255,358257,3.07107823471443,5.149054100000001e6,11307255,358257,3.07107823471443,6.0303642e6
37,11731102,11434259,296843,2.530393137831382,4.6806488e6,11434259,296843,2.530393137831382,5.1445887e6
38,12282518,12048527,233991,1.9050735362244127,5.4150752e6,12048527,233991,1.9050735362244127,5.2633779e6
39,7787582,7611580,176002,2.260033987443086,6.1805799e6,7611580,176002,2.260033987443086,6.973103100000001e6
40,10949440,10654312,295128,2.6953707221556535,4.976179600000001e6,10654312,295128,2.6953707221556535,6.1016475e6
41,8185095,8028919,156176,1.9080536023100527,6.1723279e6,8028507,156588,1.9130871419329891,7.2685643e6
42,11862948,11539594,323354,2.725747428042338,4.9328595e6,11539594,323354,2.725747428042338,5.5373322e6
43,10717143,10544433,172710,1.6115302371163658,4.9450269e6,10544433,172710,1.6115302371163658,5.4230497e6
44,10282175,9980279,301896,2.9361103074009147,5.5142965e6,9980279,301896,2.9361103074009147,6.3575665e6
45,8643571,8452112,191459,2.215045147428071,5.980863e6,8452112,191459,2.215045147428071,6.54479e6
46,8720567,8538440,182127,2.088476586442143,4.8144124e6,8538440,182127,2.088476586442143,5.778669e6
47,10062763,9784869,277894,2.761607323952676,5.271550100000001e6,9784869,277894,2.761607323952676,5.6809664e6
48,9572769,9385265,187504,1.9587227060425254,6.0122187e6,9385258,187511,1.958795830130237,7.3744147e6
49,8518543,8310461,208082,2.4426947190382204,6.2744575e6,8310583,207960,2.4412625492411086,6.8302292e6
50,10917933,10587771,330162,3.0240339448868205,6.2336419e6,10587771,330162,3.0240339448868205,7.6341505e6
